symbol,name,instrument_type,price,currency,change,percent_change,volume,market_time_utc,market_state,status,source
PEP47,"PepsiCo, Inc. 4.150% Senior Notes due 2047",bond,,,,,,,,unavailable,
PEP50,"PepsiCo, Inc. 1.050% Senior Notes due 2050",bond,,,,,,,,unavailable,
PEP55,"PepsiCo, Inc. 4.050% Senior Notes due 2055",bond,,,,,,,,unavailable,
TMUS29,"T-Mobile US, Inc. 3.550% Senior Notes due 2029",bond,,,,,,,,unavailable,
TMUS32,"T-Mobile US, Inc. 3.700% Senior Notes due 2032",bond,,,,,,,,unavailable,
TMUS32A,"T-Mobile US, Inc. 3.150% Senior Notes due 2032",bond,,,,,,,,unavailable,
TMUS32B,"T-Mobile US, Inc. 3.200% Senior Notes due 2032",bond,,,,,,,,unavailable,
TMUS35,"T-Mobile US, Inc. 3.625% Senior Notes due 2035",bond,,,,,,,,unavailable,
TMUS36,"T-Mobile US, Inc. 3.850% Senior Notes due 2036",bond,,,,,,,,unavailable,
TMUS37,"T-Mobile US, Inc. 3.50% Senior Notes due 2037",bond,,,,,,,,unavailable,
TMUS38,"T-Mobile US, Inc. 3.900% Senior Notes due 2038",bond,,,,,,,,unavailable,
TMUS45,"T-Mobile US, Inc. 3.800% Senior Notes due 2045",bond,,,,,,,,unavailable,
TRI35,Thomson Reuters Corp 5.500% Debentures Due 2035,bond,,,,,,,,unavailable,
TRI40,Thomson Reuters Corp 5.850% Notes Due 2040,bond,,,,,,,,unavailable,
TRI43A,Thomson Reuters Corp 4.500% Notes Due 2043,bond,,,,,,,,unavailable,
TRI43B,Thomson Reuters Corp 5.650% Notes Due 2043,bond,,,,,,,,unavailable,
VOD31,Vodafone Group Plc 4.800% Notes due 2031,bond,,,,,,,,unavailable,
VOD32,Vodafone Group Plc 6.250% Notes due November 2032,bond,,,,,,,,unavailable,
VOD36,Vodafone Group Plc 5.350% Notes due 2036,bond,,,,,,,,unavailable,
VOD37,Vodafone Group Plc 6.150% Notes due February 2037,bond,,,,,,,,unavailable,
VOD38,Vodafone Group Plc 5.000% Notes due May 2038,bond,,,,,,,,unavailable,
VOD43,Vodafone Group Plc 4.375% Notes due February 2043,bond,,,,,,,,unavailable,
VOD48,Vodafone Group Plc 5.25% Notes due May 2048,bond,,,,,,,,unavailable,
VOD49,Vodafone Group Plc 4.875% Notes due June 2049,bond,,,,,,,,unavailable,
VOD50,Vodafone Group Plc 4.25% Notes due September 2050,bond,,,,,,,,unavailable,
VOD53,Vodafone Group Plc 5.625% Notes due 2/10/2053,bond,,,,,,,,unavailable,
VOD54,"Vodafone Group Plc U.S.$2,000,000,000 5.750% Notes due 2054",bond,,,,,,,,unavailable,
VOD56,Vodafone Group Plc 6.100% Notes due 2056,bond,,,,,,,,unavailable,
VOD59,Vodafone Group Plc 5.125%Notes due June 2059,bond,,,,,,,,unavailable,
VOD63,Vodafone Group Plc 5.750% Notes due 2/10/2063,bond,,,,,,,,unavailable,
VOD64,Vodafone Group Plc 5.875% Notes due 2064,bond,,,,,,,,unavailable,
VOD79,Vodafone Group Plc Capital Securities due April 2079,bond,,,,,,,,unavailable,
VOD81A,"Vodafone Group Plc U.S.$500,000,000 NC5.25 Capital Securities Due 2081",bond,,,,,,,,unavailable,
VOD81B,"Vodafone Group Plc U.S.$1,000,000,000 NC10 Capital Securities Due 2081",bond,,,,,,,,unavailable,
VOD81C,"Vodafone Group Plc U.S.$950,000,000 NC30 Capital Securities Due 2081",bond,,,,,,,,unavailable,
WBDI30,"Warner Bros. Discovery, Inc. 4.302% Senior Notes due 2030",bond,,,,,,,,unavailable,
WBDI30A,"Warner Bros. Discovery, Inc. 4.302% Senior Notes due 2030",bond,,,,,,,,unavailable,
WBDI33,"Warner Bros. Discovery, Inc. 4.693% Senior Notes due 2033",bond,,,,,,,,unavailable,
WBDI33A,"Warner Bros. Discovery, Inc. 4.693% Senior Notes due 2033",bond,,,,,,,,unavailable,
WMT26A,Walmart Inc. 1.050% Notes due 2026,bond,,,,,,,,unavailable,
WMT28C,Walmart Inc. 1.500% Notes due 2028,bond,,,,,,,,unavailable,
WMT29B,Walmart Inc. 4.875% Notes due 2029,bond,,,,,,,,unavailable,
WMT30B,Walmart Inc. 5.750% Notes due 2030,bond,,,,,,,,unavailable,
WMT31A,Walmart Inc. 1.800% Notes due 2031,bond,,,,,,,,unavailable,
WMT34,Walmart Inc. 5.625% Notes due 2034,bond,,,,,,,,unavailable,
WMT35A,Walmart Inc. 5.250% Notes due 2035,bond,,,,,,,,unavailable,
WMT39,Walmart Inc. 4.875% Notes due 2039,bond,,,,,,,,unavailable,
